	raw_category	category	mpcat40	ade20k	ade20k_net					
933	furniture parts	furniture	furniture	"ottoman, pouf, pouffe, puff, hassock"	sofa					
934	fuse box	fuse box	misc	box	box					
935	fuse panel	fuse panel	misc	lamp	lamp					
936	game board	game board	objects	bulletin board	bulletin board					
937	game console	game console	objects	arcade machine	arcade machine					
938	gap	gap	objects	"bridge, span"	"bridge, span"					
939	garage door	garage door	door	door	door					
940	garage door frame	garage door frame	misc	door	door					
941	garage door motor	garage door motor	misc	door	door					
942	garage door opener	garage door opener	misc	door	door					
943	garage door opener bar	garage door opener bar	misc	door	door					
944	garage door opener motor	garage door opener motor	misc	door	door					
945	garage door opener railing	garage door opener railing	misc	door	door					
946	garage door railing	garage door railing	misc	door	door					
947	garage light	garage light	misc	light	light					
948	garden bench	garden bench	seating	bench	bench					
949	garden chair	garden chair	chair	chair	chair					
950	garden deck	garden deck	misc	canopy	canopy					
951	garden hose	hose	misc	"washer, automatic washer, washing machine"	"washer, automatic washer, washing machine"					
952	garden swing	swing	objects	ball	ball					
953	gas box	gas box	objects	box	box					
954	gas container	gas container	objects	"tank, storage tank"	"tank, storage tank"					
955	gas furnace	gas furnace	appliances	stove	stove					
956	gas meter	gas meter	misc	"tank, storage tank"	water					
957	gate	gate	misc	door	door					
958	gauge	gauge	misc	monitor	monitor					
959	gift	gift	misc	"plaything, toy"	"plaything, toy"					
960	glass	glass	objects	"glass, drinking glass"	"glass, drinking glass"					
961	glass bottle	bottle	objects	bottle	bottle					
962	glass container	glass container	objects	"glass, drinking glass"	"glass, drinking glass"					
963	glass door	glass door	door	"glass, drinking glass"	"glass, drinking glass"					
964	glass pane	glass pane	misc	"glass, drinking glass"	"glass, drinking glass"					
965	glasses	glasses	objects	"glass, drinking glass"	"glass, drinking glass"					
966	globe	globe	misc	"earth, ground"	"earth, ground"					
967	globe stand	globe stand	misc	"base, pedestal, stand"	"base, pedestal, stand"					
968	glove	gloves	objects	towel	towel					
969	gloves	gloves	objects	towel	towel					
970	glue	glue	objects	"washer, automatic washer, washing machine"	"washer, automatic washer, washing machine"					
971	goal	goalpost	objects	ball	ball					
972	golf sticks	golf sticks	objects	"pool table, billiard table, snooker table"	"pool table, billiard table, snooker table"					
973	grab bar	grab bar	misc	bar	bar					
974	gramophone	gramophone	objects	"case, display case, showcase, vitrine"	"case, display case, showcase, vitrine"					
975	grandfather clock	grandfather clock	objects	clock	clock					
976	grass	grass	plant	plant	grass					
977	grate	grate	misc	oven	oven					
978	gravel	gravel	floor	floor	sand					
979	grill	grill	misc	oven	oven					
980	groceries	groceries	objects	"food, solid food"	"food, solid food"					
981	guitar	guitar	objects	"rock, stone"	"rock, stone"					
982	guitar amp	amplifier	objects	radiator	radiator					
983	guitar amplifier	amplifier	objects	radiator	radiator					
984	guitar box	amplifier	objects	radiator	radiator					
985	guitar case	guitar case	objects	"case, display case, showcase, vitrine"	"case, display case, showcase, vitrine"					
986	guitar case suit	guitar case cover	objects	"blanket, cover"	"blanket, cover"					
987	guitar cases	guitar cases	objects	"case, display case, showcase, vitrine"	"case, display case, showcase, vitrine"					
988	guitar frame	guitar frame	objects	sconce	sconce					
989	guitar pedals	guitar pedals	objects	bicycle	bicycle					
990	guitar stand	guitar stand	objects	"base, pedestal, stand"	"base, pedestal, stand"					
991	guitar straps	guitar straps	objects	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"					
992	gun	gun	objects	"minibike, motorbike"	"minibike, motorbike"					
993	gutter	gutter	misc	"sidewalk, pavement"	"sidewalk, pavement"					
994	gym equipment	gym equipment	gym_equipment	"washer, automatic washer, washing machine"	"washer, automatic washer, washing machine"					
995	gym mat	gym mat	floor	floor	floor					
996	gym rope	gym rope	objects	stairs	stairs					
997	gym stepper	gym stepper	objects	stairs	arcade machine					
998	gym-equipment	gym equipment	gym_equipment	stairs	"washer, automatic washer, washing machine"					
999	hair dryer	hair dryer	objects	"washer, automatic washer, washing machine"	"washer, automatic washer, washing machine"					
1000	hairbrush	hair brush	objects	"washer, automatic washer, washing machine"	grass					
1001	hairdryer	hair dryer	objects	"washer, automatic washer, washing machine"	"washer, automatic washer, washing machine"					
1002	hammer	hammer	objects	"rock, stone"	"rock, stone"					
1003	hammock	hammock	bed	bed	sofa					
1004	hand cart	handcart	objects	van	van					
1005	hand cloth	hand cloth	misc	towel	towel					
1006	hand drier	hand dryer	objects	"washer, automatic washer, washing machine"	"washer, automatic washer, washing machine"					
1007	hand soap	hand soap	objects	"washer, automatic washer, washing machine"	"washer, automatic washer, washing machine"					
1008	hand towel	hand towel	objects	towel	towel					
1009	handbag	handbag	objects	bag	bag					
1010	handkerchiefs	handkerchiefs	objects	towel	towel					
1011	handle	handle	objects	door	"mountain, mount"					
1012	handrail	handrail	railing	"bannister, banister, balustrade, balusters, handrail"	"bannister, banister, balustrade, balusters, handrail"					
1013	handhold	handrail	railing	"bannister, banister, balustrade, balusters, handrail"	"bannister, banister, balustrade, balusters, handrail"					
1014	handshower	showerhead	shower	shower	"washer, automatic washer, washing machine"					
1015	hanger	hanger	objects	bar	runway					
1016	hangers	hanger	objects	bar	runway					
1017	hanging clothes	hanging clothes	clothes	clothes	clothes					
1018	hat	hat	clothes	clothes	towel					
1019	hatch	hatch	misc	"hood, exhaust hood"	"hood, exhaust hood"					
1020	hats	hats	objects	clothes	clothes					
1021	headboard	headboard	bed	bed	"chest of drawers, chest, bureau, dresser"					
1022	headphones	headphones	objects	computer	pillow					
1023	headset	headset	objects	computer	swivel chair					
1024	hearth	hearth	misc	fireplace	fireplace					
1025	heat vent	vent	misc	"hood, exhaust hood"	"hood, exhaust hood"					
1026	heater	heater	objects	stove	stove					
1027	heater  piping	heater piping	misc	stove	stove					
1028	heater piping	heater piping	misc	stove	stove					
1029	heating furnace part	furnace	misc	stove	stove					
1030	heating vent	vent	misc	"hood, exhaust hood"	"hood, exhaust hood"					
1031	herb basket	basket	objects	"basket, handbasket"	"basket, handbasket"					
1032	hi hat	hi-hat	objects	"basket, handbasket"	"basket, handbasket"					
1033	hi hat stand	hi-hat stand	objects	"basket, handbasket"	"basket, handbasket"					
1034	high chair	highchair	chair	chair	sofa					
1035	high shelf	high shelf	misc	shelf	shelf					
1036	highchair	highchair	chair	chair	sofa					
1037	highchairs	highchair	chair	chair	sofa					
1038	holder	holder	objects	bookcase	person					
1039	holy cross	holy cross	misc	"hood, exhaust hood"	river					
1040	hood	range hood	objects	"hood, exhaust hood"	"hood, exhaust hood"					
1041	hook	hook	misc	bar	swivel chair					
1042	hose	hose	misc	"washer, automatic washer, washing machine"	"washer, automatic washer, washing machine"					
1043	hot drinks machine	beverage dispenser	objects	bottle	bottle					
1044	hot water/cold water knob	hot water/cold water knob	misc	bottle	bottle					
1045	hourglass	hourglass	objects	clock	sand					
1046	hoverboard	hoverboard	objects	arcade machine	arcade machine					
1047	hunting trophy	hunting trophy	misc	"buffet, counter, sideboard"	"buffet, counter, sideboard"					
1048	hutch	hutch	misc	"hovel, hut, hutch, shack, shanty"	"hovel, hut, hutch, shack, shanty"					
1049	ice maker	ice maker	objects	"refrigerator, icebox"	"glass, drinking glass"					
1050	icebox	icebox	appliances	"refrigerator, icebox"	"refrigerator, icebox"					
1051	identifier	identifier	misc	trade name	trade name					
1052	image	picture	picture	"painting, picture"	"painting, picture"					
1053	indow curtain	window curtain	curtain	curtain	curtain					
1054	induction hob	stovetop	misc	stove	stove					
1055	information	information	misc	trade name	computer					
1056	insect door	door screen	door	door	"screen door, screen"					
1057	door screen	door screen	door	door	"screen door, screen"					
1058	installation	installation	objects	"awning, sunshade, sunblind"	"awning, sunshade, sunblind"					
1059	instrument	instrument	objects	"awning, sunshade, sunblind"	"awning, sunshade, sunblind"					
1060	iron	iron	objects	clothes	sand					
1061	iron board	iron board	misc	bulletin board	bulletin board					
1062	ironing board	ironing board	objects	bulletin board	bulletin board					
1063	island	island	counter	"buffet, counter, sideboard"	kitchen island					
1064	jacket	jacket	clothes	clothes	clothes					
1065	jacuzzi	jacuzzi	misc	tub	tub					
1066	jar	jar	objects	bottle	bottle					
1067	jars	jars	objects	bottle	bottle					
1068	jewellery	jewelry	objects	clothes	clothes					
1069	jewellery ehibition	jewelry	objects	clothes	clothes					
1070	jewellery exhibition	jewelry	objects	clothes	clothes					
1071	jewellery exposition	jewelry	objects	clothes	clothes					
1072	jewelry	jewelry	objects	clothes	clothes					
1073	jewelry box	jewelry box	misc	box	box					
1074	jewlery box	jewelry box	misc	box	box					
1075	joga mat	yoga mat	misc	rug	sofa					
1076	jug	jug	objects	bottle	bottle					
1077	junk	junk	objects	trash can	trash can					
1078	keg	keg	objects	bottle	bottle					
1079	kegerator	keg	objects	bottle	bottle					
1080	kettle	kettle	objects	stove	stove					
1081	keyboard	keyboard	objects	computer	crt screen					
1082	keyboard box	keyboard box	objects	box	box					
1083	keyboard case suit	keyboard cover	objects	"blanket, cover"	"blanket, cover"					
1084	keyboard piano	keyboard piano	objects	"plaything, toy"	crt screen					
1085	keyboard stand	keyboard stand	objects	"base, pedestal, stand"	"base, pedestal, stand"					
1086	keys	keys	objects	"plaything, toy"	door					
1087	kitchen appliance	kitchen appliance	appliances	dishwasher	dishwasher					
1088	kitchen board	cutting board	objects	bulletin board	bulletin board					
1089	kitchen cabinet	kitchen cabinet	cabinet	cabinet	cabinet					
1090	kitchen cabinet door	kitchen cabinet door	cabinet	cabinet	cabinet					
1091	kitchen cabinet drawer	kitchen cabinet drawer	cabinet	cabinet	cabinet					
1092	kitchen cabinet lower	kitchen cabinet lower	cabinet	cabinet	cabinet					
1093	kitchen ceiling	kitchen ceiling	ceiling	ceiling	ceiling					
1094	kitchen chair	kitchen chair	chair	chair	chair					
1095	kitchen coocking cabinet	kitchen cabinet	cabinet	cabinet	cabinet					
1096	kitchen counter	kitchen counter	counter	counter	counter					
1097	kitchen counter support	kitchen counter support	misc	counter	counter					
1098	kitchen countertop	kitchen counter	counter	counter	counter					
1099	kitchen countertop item	kitchen countertop item	misc	countertop	countertop					
1100	kitchen countertop items	kitchen countertop items	misc	countertop	countertop					
1101	kitchen coutertop item	kitchen counter item	objects	counter	counter					
1102	kitchen decoration	kitchen decoration	objects	kitchen island	kitchen island					
1103	kitchen extractor	kitchen extractor	misc	stove	stove					
1104	kitchen glowes	kitchen gloves	objects	clothes	stove					
1105	kitchen handle	kitchen handle	objects	kitchen island	kitchen island					
1106	kitchen hood	range hood	objects	"hood, exhaust hood"	"hood, exhaust hood"					
1107	kitchen island	kitchen island	counter	kitchen island	kitchen island					
1108	kitchen knife set	kitchen knife set	objects	plate	kitchen island					
1109	kitchen lower cabinet	kitchen lower cabinet	cabinet	cabinet	cabinet					
1110	kitchen lower shelf	kitchen lower shelf	shelving	shelf	shelf					
1111	kitchen shelf	kitchen shelf	shelving	shelf	shelf					
1112	kitchen sink	kitchen sink	sink	sink	sink					
1113	kitchen sink cabinet	kitchen sink cabinet	cabinet	cabinet	cabinet					
1114	kitchen sitting	kitchen seating	seating	seat	kitchen island					
1115	kitchen stuff	clutter	misc	trash can	trash can					
1116	kitchen table	kitchen table	table	table	table					
1117	kitchen tools	kitchen utensils	objects	counter	kitchen island					
1118	kitchen top	kitchen top	counter	counter	kitchen island					
1119	kitchen towel	kitchen towel	objects	towel	towel					
1120	kitchen untensils	kitchen utensils	objects	counter	kitchen island					
1121	kitchen upper cabinet	kitchen cabinet	cabinet	cabinet	cabinet					
1122	kitchen utensil	kitchen utensil	objects	counter	kitchen island					
1123	kitchen utensils	kitchen utensils	objects	counter	kitchen island					
1124	kitchen wall	kitchen wall	wall	wall	wall					
1125	kitchen walll	kitchen wall	wall	wall	wall					
1126	kitchenware	kitchenware	objects	countertop	countertop					
1127	kitchhen cabinet door	kitchen cabinet door	cabinet	cabinet	cabinet					
1128	kitcyhen cabinet	kitchen cabinet	cabinet	cabinet	cabinet					
1129	knife	knife	objects	counter	"chest of drawers, chest, bureau, dresser"					
1130	knife holder	knife holder	misc	counter	"chest of drawers, chest, bureau, dresser"					
1131	knife set	knife set	objects	counter	"chest of drawers, chest, bureau, dresser"					
1132	knife stand	knife stand	objects	"base, pedestal, stand"	"base, pedestal, stand"					
1133	knob	knob	misc	radiator	radiator					
1134	knofe set	knife set	objects	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
1135	l-shaped sofa	l-shaped sofa	sofa	sofa	"chest of drawers, chest, bureau, dresser"					
1136	lace doily	lace doily	objects	towel	"ottoman, pouf, pouffe, puff, hassock"					
1137	lacy doily	lace doily	objects	towel	"ottoman, pouf, pouffe, puff, hassock"					
1138	ladder	ladder	stairs	stairs	"escalator, moving staircase, moving stairway"					
1139	lamp	lamp	lighting	lamp	lamp					
1140	lamp ceiling	ceiling lamp	lighting	lamp	lamp					
1141	lamp desk	desk lamp	lighting	lamp	lamp					
1142	lamp shade	lamp shade	lighting	lamp	lamp					
1143	lamp stand	lamp stand	misc	lamp	lamp					
1144	lamp table	lamp table	table	lamp	lamp					
1145	lamps	lamp	lighting	lamp	lamp					
1146	lampshade	lampshade	lighting	chandelier	chandelier					
1147	landing	landing	floor	floor	plane					
1148	lantern	lantern	lighting	lamp	lamp					
1149	laptop	laptop	objects	computer	computer					
1150	laundry	laundry	clothes	"washer, automatic washer, washing machine"	dishwasher					
1151	laundry bag	laundry bag	misc	bag	bag					
1152	laundry basket	laundry basket	objects	"basket, handbasket"	"basket, handbasket"					
1153	laundry machine	laundry machine	misc	"washer, automatic washer, washing machine"	"washer, automatic washer, washing machine"					
1154	launger	lounger	seating	seat	sofa					
1155	lawn	lawn	floor	floor	grass					
1156	lawn mower	lawn mower	objects	"washer, automatic washer, washing machine"	grass					
1157	lawnmower	lawn mower	objects	"washer, automatic washer, washing machine"	grass					
1158	leaflet	leaflets	objects	"poster, posting, placard, notice, bill, card"	"poster, posting, placard, notice, bill, card"					
1159	leaflets	leaflets	objects	"poster, posting, placard, notice, bill, card"	"poster, posting, placard, notice, bill, card"					
1160	led  tv	led tv	misc	tv	tv					
1161	led tv	led tv	misc	tv	tv					
1162	ledge	ledge	objects	"stairway, staircase"	"stairway, staircase"					
1163	ledtv	led tv	misc	tv	tv					
1164	leg rest	leg rest	misc	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
1165	letter	document	misc	bulletin board	bulletin board					
1166	level	level	objects	stage	stage					
1167	lid	lid	misc	"hood, exhaust hood"	"hood, exhaust hood"					
1168	lids	lid	misc	"hood, exhaust hood"	"hood, exhaust hood"					
1169	light	light	lighting	light	light					
1170	light fixture	light fixture	lighting	light	light					
1171	light switch	light switch	objects	light	light					
1172	lighter	lighter	objects	light	light					
1173	lighting fixture	lighting fixture	objects	light	street lamp					
1174	lighting grid	lighting fixture	objects	light	street lamp					
1175	lights	light	lighting	light	light					
1176	liquid	liquid	misc	water	tub					
1177	liquid container	liquid container	objects	bottle	bottle					
1178	liquid cleaner	liquid cleaner	objects	bottle	water					
1179	liquid soap	liquid soap	misc	bottle	tub					
1180	lmap	lamp	lighting	lamp	lamp					
1181	locker	locker	misc	"wardrobe, closet, press"	"wardrobe, closet, press"					
1182	loft hatch	hatch	misc	"hood, exhaust hood"	"hood, exhaust hood"					
1183	logs	firewood	misc	stove	stove					
1184	lounge chair	lounge chair	chair	chair	chair					
1185	lounger	lounger	seating	seat	sofa					
1186	lower cabinet	lower cabinet	cabinet	cabinet	cabinet					
1187	luggage	luggage	objects	bag	bag					
1188	lundry basket	laundry basket	objects	"basket, handbasket"	"basket, handbasket"					
1189	machine	machine	objects	arcade machine	arcade machine					
1190	magazine	magazine	objects	book	"column, pillar"					
1191	magazine rack	magazine rack	misc	book	"column, pillar"					
1192	magazines	magazines	objects	book	book					
1193	"magazines, albums"	magazines	objects	book	book					
1194	"magazines, albums, bookshelf"	magazines	objects	book	book					
1195	"magazines, books and albums"	magazines	objects	book	book					
1196	magic marker	magic marker	objects	lamp	lamp					
1197	magic marker box	magic marker box	objects	box	box					
1198	mail	mail	objects	book	trash can					
1199	mailbox	mailbox	objects	box	door					
1200	make up accesories	makeup accessories	objects	"wardrobe, closet, press"	"wardrobe, closet, press"					
1201	mannequin	mannequin	objects	person	"case, display case, showcase, vitrine"					
1202	mantel	mantel	fireplace	"buffet, counter, sideboard"	"buffet, counter, sideboard"					
1203	mantle	mantle	fireplace	fireplace	"toilet, can, commode, crapper, pot, potty, stool, throne"					
1204	map	map	objects	"poster, posting, placard, notice, bill, card"	"painting, picture"					
1205	mascot	mascot	objects	"plaything, toy"	"poster, posting, placard, notice, bill, card"					
1206	mascots	mascots	objects	"plaything, toy"	"poster, posting, placard, notice, bill, card"					
1207	mask decoration	decoration	objects	sconce	sconce					
1208	massage bed	massage bed	bed	bed	bed					
1209	mat	mat	floor	rug	pillow					
1210	mat floor	mat	floor	rug	pillow					
1211	material	material	misc	rug	sand					
1212	mattress	bed	bed	bed	bed					
1213	measuring tape	measuring tape	objects	rug	monitor					
1214	medal	medal	objects	plate	"pool table, billiard table, snooker table"					
1215	medal collection	medal collection	objects	plate	vase					
1216	media console	media console	misc	arcade machine	"wardrobe, closet, press"					
1217	medical lamp	medical lamp	lighting	lamp	lamp					
1218	medical object	medical object	objects	lamp	person					
1219	menu	menu	objects	"poster, posting, placard, notice, bill, card"	"buffet, counter, sideboard"					
1220	menu board	menu board	objects	"poster, posting, placard, notice, bill, card"	bulletin board					
1221	meshwork	meshwork	misc	"case, display case, showcase, vitrine"	"case, display case, showcase, vitrine"					
1222	meter	meter	misc	unlabeled	street lamp					
1223	microphone	microphone	objects	computer	swivel chair					
1224	microphone accesory	microphone accessory	objects	computer	swivel chair					
1225	microvawe	microwave	appliances	microwave	microwave					
1226	microwave	microwave	appliances	microwave	microwave					
1227	microweave	microwave	appliances	microwave	microwave					
1228	midi keyboard	keyboard piano	objects	"plaything, toy"	crt screen					
1229	mini fridge	mini fridge	appliances	"refrigerator, icebox"	"refrigerator, icebox"					
1230	miocrowave	microwave	appliances	microwave	microwave					
1231	mircowave	microwave	appliances	microwave	microwave					
1232	miror	mirror	mirror	mirror	mirror					
1233	mirror	mirror	mirror	mirror	mirror					
1234	mirror /otherroom	mirror /otherroom	mirror	mirror	mirror					
1235	mirror door	mirror door	misc	mirror	door					
1236	mirror frame	mirror frame	mirror	mirror	mirror					
1237	mirror stand	mirror	mirror	mirror	mirror					
1238	mixer	mixer	misc	oven	oven					
1239	mobile	mobile	objects	computer	computer					
1240	model	model	objects	computer	"column, pillar"					
1241	modem	modem	objects	computer	computer					
1242	molding	molding	wall	wall	"glass, drinking glass"					
1243	monitor	monitor	tv_monitor	monitor	monitor					
1244	moose head/sculpture/hunting trophy	moose head/sculpture/hunting trophy	misc	sculpture	monitor					
1245	mop	mop	objects	towel	"washer, automatic washer, washing machine"					
1246	mortar	mortar	misc	arcade machine	arcade machine					
1247	motion detector	motion detector	misc	computer	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"					
1248	motion sensor	motion detector	misc	computer	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"					
1249	motorcycle	motorcycle	objects	"minibike, motorbike"	"minibike, motorbike"					
1250	mouse	mouse	objects	computer	computer					
1251	mousepad	mousepad	objects	"ottoman, pouf, pouffe, puff, hassock"	"ottoman, pouf, pouffe, puff, hassock"					
1252	mug	mug	objects	bottle	bottle					
1253	multi-gym	gym equipment	gym_equipment	"washer, automatic washer, washing machine"	"washer, automatic washer, washing machine"					
1254	music album shelf	music album shelf	shelving	shelf	shelf					
1255	music player	music player	objects	computer	fan					
1256	music stand	music equipment stand	objects	"base, pedestal, stand"	"base, pedestal, stand"					
1257	musical equipment	music equipment	objects	computer	computer					
1258	napkin	napkin	objects	"blanket, cover"	tray					
1259	napkins	napkins	objects	"blanket, cover"	tray					
1260	newspaper	newspaper	misc	"poster, posting, placard, notice, bill, card"	"column, pillar"					
1261	newspaper basket	newspaper basket	objects	"basket, handbasket"	"basket, handbasket"					
1262	niche	niche	wall	wall	"case, display case, showcase, vitrine"					
1263	nighstand	nightstand	chest_of_drawers	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
1264	night lamp	night lamp	lighting	lamp	lamp					
1265	night stand	nightstand	chest_of_drawers	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
1266	night table	nightstand	chest_of_drawers	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
1267	nightsand	nightstand	chest_of_drawers	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
1268	nightstand	nightstand	chest_of_drawers	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
1269	nigtstand	nightstand	chest_of_drawers	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
1270	note	note	objects	"poster, posting, placard, notice, bill, card"	"poster, posting, placard, notice, bill, card"					
1271	notebook	notebook	objects	book	computer					
1272	notebooks	notebooks	objects	book	computer					
1273	notes	notes	objects	book	book					
1274	noticeboard	note board	objects	bulletin board	bulletin board					
1275	oar	oar	objects	boat	boat					
1276	object	object	objects	sculpture	sky					
1277	objects	objects	objects	sculpture	sculpture					
1278	office chair	office chair	chair	chair	chair					
1279	office wall	office wall	wall	wall	wall					
1280	office drawer	drawers	chest_of_drawers	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
1281	office phone	phone	objects	computer	computer					
1282	office stuff	stationery	objects	clothes	clothes					
1283	office table	office table	table	table	table					
1284	office utensils	utensil	objects	tray	tray					
1285	oil lamp	oil lamp	lighting	lamp	lamp					
1286	organizer drawers	drawers	chest_of_drawers	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
1287	ornament	ornament	objects	vase	vase					
1288	ornament flower	flower	plant	plant	flower					
1289	ornament plant	plant	plant	plant	plant					
1290	ornamental plant	plant	plant	plant	plant					
1291	ornamental plate	plate	objects	plate	plate					
1292	ornaments	ornament	objects	vase	vase					
1293	ottoman	ottoman	stool	"ottoman, pouf, pouffe, puff, hassock"	"ottoman, pouf, pouffe, puff, hassock"					
1294	outflow	unknown	unlabeled	unlabeled	unlabeled					
1295	outlet	outlet	objects	"road, route"	"road, route"					
1296	outside	unknown	unlabeled	unlabeled	unlabeled					
1297	oven	oven	appliances	oven	oven					
1298	oven and stove	oven and stove	misc	oven	oven					
1299	oven hood	range hood	objects	"hood, exhaust hood"	"hood, exhaust hood"					
1300	oven vent	oven vent	misc	"hood, exhaust hood"	oven					
1301	overhang	overhang	misc	ceiling	ceiling					
1302	overlay	unknown	unlabeled	unlabeled	unlabeled					
1303	package	package	objects	"poster, posting, placard, notice, bill, card"	"poster, posting, placard, notice, bill, card"					
1304	pad	pad	misc	"awning, sunshade, sunblind"	"awning, sunshade, sunblind"					
1305	painiting	painting	objects	"painting, picture"	"painting, picture"					
1306	paint	unknown	unlabeled	unlabeled	unlabeled					
1307	painting	painting	objects	"painting, picture"	"painting, picture"					
1308	painting  frame	painting frame	misc	"painting, picture"	"painting, picture"					
1309	painting /otherroom	painting /otherroom	objects	"painting, picture"	"painting, picture"					
1310	painting frame	painting frame	misc	"painting, picture"	"painting, picture"					
1311	painting roll	painting roll	objects	"painting, picture"	"painting, picture"					
1312	painting rolls	painting rolls	objects	"painting, picture"	"painting, picture"					
1313	painting stuff	painting stuff	objects	"painting, picture"	"painting, picture"					
1314	painting tray	painting tray	objects	tray	tray					
1315	paintng	painting	objects	"painting, picture"	"painting, picture"					
1316	paintning	painting	objects	"painting, picture"	"painting, picture"					
1317	pair of shoes	shoes	objects	clothes	clothes					
1318	paiting	painting	objects	"painting, picture"	"painting, picture"					
1319	pan	pan	objects	oven	oven					
1320	panel	panel	board_panel	cabinet	cabinet					
1321	panel screen	panel screen	misc	"screen door, screen"	"screen door, screen"					
1322	panel wall	wall panel	wall	wall	wall					
1323	paneling	paneling	wall	wall	"bannister, banister, balustrade, balusters, handrail"					
1324	pantry	pantry	misc	"refrigerator, icebox"	"refrigerator, icebox"					
1325	paper	paper	objects	book	book					
1326	paper holder	paper holder	objects	bookcase	towel					
1327	paper shelf	shelf	shelving	shelf	shelf					
1328	paper storage	paper storage	misc	"tank, storage tank"	"tank, storage tank"					
1329	paper towel	paper towel	towel	towel	towel					
1330	paper towel dispenser	paper towel dispenser	misc	towel	towel					
1331	paper towel holder	paper towel holder	objects	towel	towel					
1332	paper towels	paper towels	towel	towel	towel					
1333	papers	papers	objects	book	book					
1334	parapet	parapet	misc	"bannister, banister, balustrade, balusters, handrail"	"bannister, banister, balustrade, balusters, handrail"					
1335	partial	partial	misc	"blanket, cover"	"blanket, cover"					
1336	partition	partition	misc	wall	wall					
1337	patio	patio	misc	fireplace	fireplace					
1338	patio chair	patio chair	chair	chair	chair					
1339	patio floor	patio floor	misc	floor	floor					
1340	pavement	pavement	floor	floor	"sidewalk, pavement"					
1341	paving	pavement	floor	floor	"sidewalk, pavement"					
1342	payment terminal	payment terminal	objects	pier	pier					
1343	pc mouse	mouse	objects	computer	computer					
1344	pc tower	pc tower	misc	computer	tower					
1345	pedestal	pedestal	misc	"base, pedestal, stand"	"base, pedestal, stand"					
1346	peinting	painting	objects	"painting, picture"	"painting, picture"					
1347	pen	pen	objects	desk	"palm, palm tree"					
1348	pen cup	pen cup	objects	desk	bottle					
1349	pencil	pencil	objects	desk	"palm, palm tree"					
1350	pencil case	pencil case	objects	desk	"case, display case, showcase, vitrine"					
1351	pencil holder	pencil holder	objects	desk	"chest of drawers, chest, bureau, dresser"					
1352	pendant	pendant	objects	vase	vase					
1353	pendrive	pen drive	objects	vase	"palm, palm tree"					
1354	perfume	perfume	objects	vase	clothes					
1355	pet bed	pet bed	objects	bed	bed					
1356	pet bowl	pet bowl	objects	plate	animal					
1357	phillar	pillar	column	"column, pillar"	"column, pillar"					
1358	phone	phone	objects	computer	computer					
1359	photo	photo	picture	"painting, picture"	"painting, picture"					
1360	photo mount	photo mount	misc	"painting, picture"	"mountain, mount"					
1361	photo mounts	photo mounts	misc	"painting, picture"	"painting, picture"					
1362	photo stand	photo stand	objects	"base, pedestal, stand"	"base, pedestal, stand"					
1363	photography	photo	picture	"painting, picture"	"painting, picture"					
1364	photos	photos	picture	"painting, picture"	"painting, picture"					
1365	piano	piano	objects	"plaything, toy"	"bannister, banister, balustrade, balusters, handrail"					
1366	piano bench	piano bench	seating	bench	bench					
1367	piano lower part	piano	objects	"bannister, banister, balustrade, balusters, handrail"	"bannister, banister, balustrade, balusters, handrail"					
1368	piano stool	piano stool	stool	stool	"toilet, can, commode, crapper, pot, potty, stool, throne"					
1369	pictrure	picture	picture	"painting, picture"	"painting, picture"					
1370	picture	picture	picture	"painting, picture"	"painting, picture"					
1371	picture  frame	picture frame	picture	"painting, picture"	"painting, picture"					
1372	picture frame	picture frame	picture	"painting, picture"	"painting, picture"					
1373	pictured frame	picture frame	picture	"painting, picture"	"painting, picture"					
1374	pictures	pictures	picture	"painting, picture"	"painting, picture"					
1375	picure	picture	picture	"painting, picture"	"painting, picture"					
1376	piillow	pillow	cushion	cushion	pillow					
1377	pile of boxes	boxes	objects	box	box					
1378	pile of cups	cups	objects	bottle	bottle					
1379	pile of clothes	clothes	clothes	clothes	clothes					
1380	pile of magazines	pile of magazines	misc	book	clothes					
1381	pile of papers	papers	objects	book	book					
1382	pile of stuff	unknown	unlabeled	unlabeled	unlabeled					
1383	pillar	pillar	column	"column, pillar"	"column, pillar"					
1384	pilllow	pillow	cushion	cushion	pillow					
1385	pillow	pillow	cushion	cushion	pillow					
1386	pillow seat	pillow seat	seating	seat	pillow					
1387	pillows	pillow	cushion	cushion	pillow					
